,Target_Variable,Target_Overweight,Target_Included,Items_Per_Scale,Predictions,mse,hit_0_trained,hit_1_trained,hit_0_untrained,hit_1_untrained
847,O6,4,TRUE,1,O6 ~ A9 + C7 + E1 + N7 + O5 + O8 + O7 + O1,"0,962653281","0,458248473","0,868295995","0,516041419","0,891359701"
848,O6,4,TRUE,1,O6 ~ A4 + C1 + E6 + N7 + O5 + O4 + O8 + O2,"0,949047375","0,484725051","0,877121521","0,542861993","0,894754711"
849,O6,4,TRUE,1,O6 ~ A3 + C5 + E2 + N10 + O5 + O9 + O7 + O9,"0,981073543","0,470468432","0,877121521","0,510100153","0,891020200"
850,O6,4,TRUE,1,O6 ~ A7 + C3 + E3 + N1 + O5 + O3 + O9 + O1,"0,928103969","0,505091650","0,879837067","0,563232049","0,899677474"
851,O6,5,TRUE,1,O6 ~ A10 + C8 + E6 + N8 + O1 + O7 + O3 + O2 + O4,"0,919933287","0,507128310","0,881194840","0,571889323","0,902902733"
852,O6,5,TRUE,1,O6 ~ A6 + C1 + E3 + N7 + O2 + O8 + O4 + O10 + O3,"0,913831574","0,506449423","0,885268160","0,576302835","0,904769988"
853,O6,5,TRUE,1,O6 ~ A3 + C8 + E5 + N4 + O4 + O9 + O5 + O1 + O10,"0,962135312","0,482009504","0,873048201","0,543880496","0,896452215"
854,O6,5,TRUE,1,O6 ~ A4 + C8 + E10 + N2 + O3 + O4 + O10 + O5 + O7,"0,934963796","0,501697217","0,879158181","0,574435580","0,900186726"
855,O6,5,TRUE,1,O6 ~ A7 + C10 + E6 + N9 + O5 + O1 + O9 + O2 + O3,"0,903947493","0,478615071","0,885268160","0,568664064","0,906467493"
856,O6,6,TRUE,1,O6 ~ A1 + C1 + E1 + N2 + O2 + O8 + O8 + O9 + O10 + O7,"0,943625850","0,475899525","0,880515954","0,542861993","0,898319470"
857,O6,6,TRUE,1,O6 ~ A1 + C3 + E9 + N3 + O1 + O5 + O2 + O9 + O3 + O4,"0,920698832","0,500339443","0,881873727","0,573077576","0,905279240"
858,O6,6,TRUE,1,O6 ~ A7 + C5 + E9 + N4 + O2 + O10 + O3 + O10 + O8 + O7,"0,916076857","0,499660557","0,879837067","0,570870820","0,904600238"
859,O6,6,TRUE,1,O6 ~ A9 + C6 + E4 + N6 + O4 + O5 + O9 + O7 + O2 + O3,"0,900270692","0,505770536","0,884589274","0,587506366","0,904430487"
860,O6,6,TRUE,1,O6 ~ A6 + C6 + E5 + N6 + O10 + O7 + O2 + O10 + O3 + O9,"0,916194887","0,508486083","0,881194840","0,577151587","0,902732983"
861,O6,7,TRUE,1,O6 ~ A10 + C9 + E10 + N8 + O10 + O4 + O3 + O7 + O5 + O2 + O3,"0,922150330","0,503054990","0,881194840","0,579697844","0,904769988"
862,O6,7,TRUE,1,O6 ~ A2 + C9 + E4 + N4 + O9 + O10 + O4 + O8 + O3 + O5 + O5,"0,934388256","0,504412763","0,879837067","0,572228824","0,902053981"
863,O6,7,TRUE,1,O6 ~ A6 + C7 + E4 + N10 + O10 + O2 + O9 + O5 + O5 + O8 + O7,"0,936541576","0,465716225","0,877800407","0,552368019","0,897640469"
864,O6,7,TRUE,1,O6 ~ A8 + C10 + E9 + N9 + O10 + O3 + O8 + O4 + O5 + O4 + O2,"0,919641528","0,496266124","0,885268160","0,574265829","0,904260737"
865,O6,7,TRUE,1,O6 ~ A6 + C6 + E10 + N5 + O2 + O4 + O8 + O5 + O1 + O7 + O4,"0,941810099","0,478615071","0,869653768","0,550161263","0,896112714"
866,O6,8,TRUE,1,O6 ~ A6 + C2 + E2 + N8 + O4 + O3 + O7 + O8 + O10 + O2 + O1 + O5,"0,939164262","0,505091650","0,882552614","0,594805636","0,906976744"
